symbol,date,ref_entry,our_entry,entry_ok,ref_exit,our_exit,exit_ok,ref_reason,our_reason,reason_ok,ref_net,our_net,net_diff
ARKUSDT,2025-07-20,0.538,0.538,True,0.5034,0.5034,True,TIME_EXIT,TIME_EXIT,True,53.606574490405336,53.4830076579927,-0.12356683241263511
ARKUSDT,2025-09-14,0.4996,0.4996,True,0.47665,0.47665,True,TP,TP,True,43.303510482385846,43.29805939951956,-0.005451082866287038
ATHUSDT,2026-02-14,0.006568,0.006568,True,0.0061279,0.0061279,True,TP,TP,True,53.43840229541719,53.541729147381204,0.10332685196401314
AUCTIONUSDT,2025-12-31,5.837,5.837,True,5.179,5.179,True,TIME_EXIT,TIME_EXIT,True,101.30735822384412,100.731351682371,-0.5760065414731201
AVNTUSDT,2026-01-25,0.3264,0.3264,True,0.29229,0.29229,True,TP,TP,True,72.80780138873324,68.53303647058834,-4.274764918144896
AWEUSDT,2025-06-20,0.052964,0.052964,True,0.0515717,0.0515717,True,TP,TP,True,22.421128991954895,22.485967094630304,0.06483810267540946
AWEUSDT,2025-09-25,0.10963,0.10963,True,0.105346,0.10534600000000001,True,TP,TP,True,38.27689501048979,34.37384501048979,-3.9030500000000004
AWEUSDT,2025-12-23,0.0574,0.0574,True,0.055753,0.055753000000000004,True,TP,TP,True,25.76139886371419,24.399339790940694,-1.3620590727734978
AXLUSDT,2026-02-03,0.0697,0.0697,True,0.06268,0.06268,True,TP,TP,True,85.76308869667143,85.31695011477761,-0.4461385818938197
AXLUSDT,2026-03-25,0.0523,0.0523,True,0.050455,0.050455,True,TP,TP,True,33.03299365774379,32.01658665391968,-1.0164070038241064
AXLUSDT,2026-04-21,0.06001,0.06001,True,0.0547179999999999,0.054717999999999996,True,TP,TP,True,84.50574197137654,80.06374244959181,-4.441999521784723
AXLUSDT,2026-04-23,0.05917,0.05917,True,0.05914,0.05914,True,TIME_EXIT,TIME_EXIT,True,-9.65029209593544,-12.018526310630353,-2.3682342146949136
AXSUSDT,2025-08-31,2.686,2.686,True,2.381,2.381,True,TIME_EXIT,TIME_EXIT,True,110.534978180128,110.42798981384966,-0.10698836627832975
AXSUSDT,2026-02-14,1.49,1.49,True,1.4045,1.4045,True,TP,TP,True,33.41307483709522,33.108510335570415,-0.3045645015248084
AXSUSDT,2026-02-20,1.329,1.329,True,1.2606,1.2606,True,TP,TP,True,29.575589331718536,29.377298623024842,-0.19829070869369403
AZTECUSDT,2026-03-07,0.02143,0.02143,True,0.02053,0.02053,True,TP,TP,True,38.900433265217046,38.902200186654284,0.0017669214372375563
AZTECUSDT,2026-05-13,0.02613,0.02613,True,0.023664,0.023664,True,TP,TP,True,93.72159852659776,93.72428243398392,0.0026839073861566476
BARDUSDT,2026-04-04,0.3112,0.3112,True,0.29878,0.29878,True,TP,TP,True,-7.032631122586758,-7.5331742930591705,-0.5005431704724126
BERAUSDT,2026-01-14,0.7066,0.7066,True,0.7984579999999999,0.7984579999999999,True,SL,SL,True,-135.80213116695847,-135.71258999999984,0.08954116695863945
BIGTIMEUSDT,2025-07-27,0.07323,0.07323,True,0.067578,0.067578,True,TP,TP,True,76.76065678000825,76.65693299877105,-0.10372378123719272
BIGTIMEUSDT,2025-08-29,0.06206,0.06206,True,0.057407,0.057407,True,TP,TP,True,71.5930839330454,71.58519984208827,-0.007884090957134049
