period,s_entry,s_exit,s_stop,n_trades,expectancy,ci_low,win_rate,pf,ann_return_pct,mdd_pct
OOS_2025,0.1,0.3,0.5,171,14.46,2.07,67.8,1.6,24.72,4.32
OOS_2025,0.1,0.3,0.75,171,14.08,2.96,67.8,1.58,24.07,4.43
OOS_2025,0.1,0.3,1.0,171,13.7,1.46,67.8,1.55,23.42,4.55
OOS_2025,0.15,0.05,0.05,171,15.4,4.12,70.2,1.67,26.33,4.02
OOS_2025,0.15,0.05,0.1,171,15.32,3.43,70.2,1.66,26.19,4.04
OOS_2025,0.15,0.05,0.2,171,15.16,3.86,70.2,1.65,25.92,4.09
OOS_2025,0.15,0.05,0.3,171,15.0,4.46,70.2,1.64,25.65,4.13
OOS_2025,0.15,0.05,0.5,171,14.68,2.99,70.2,1.62,25.1,4.22
OOS_2025,0.15,0.05,0.75,171,14.28,2.96,70.2,1.59,24.43,4.34
OOS_2025,0.15,0.05,1.0,171,13.89,2.33,70.2,1.56,23.75,4.45
OOS_2025,0.15,0.1,0.05,171,15.24,4.31,70.2,1.66,26.05,4.04
OOS_2025,0.15,0.1,0.1,171,15.16,4.0,70.2,1.65,25.92,4.07
OOS_2025,0.15,0.1,0.2,171,15.0,3.59,70.2,1.64,25.65,4.11
OOS_2025,0.15,0.1,0.3,171,14.84,3.58,70.2,1.63,25.38,4.16
OOS_2025,0.15,0.1,0.5,171,14.52,3.03,70.2,1.61,24.83,4.25
OOS_2025,0.15,0.1,0.75,171,14.13,3.08,70.2,1.58,24.15,4.36
OOS_2025,0.15,0.1,1.0,171,13.73,2.51,70.2,1.56,23.48,4.48
OOS_2025,0.15,0.15,0.05,171,15.08,3.66,69.0,1.65,25.78,4.07
OOS_2025,0.15,0.15,0.1,171,15.0,3.86,69.0,1.64,25.65,4.09
OOS_2025,0.15,0.15,0.2,171,14.84,4.33,69.0,1.63,25.37,4.14
OOS_2025,0.15,0.15,0.3,171,14.68,2.27,69.0,1.62,25.1,4.18
OOS_2025,0.15,0.15,0.5,171,14.36,2.23,69.0,1.6,24.56,4.28
OOS_2025,0.15,0.15,0.75,171,13.97,2.0,69.0,1.57,23.88,4.39
OOS_2025,0.15,0.15,1.0,171,13.57,0.83,69.0,1.55,23.2,4.5
OOS_2025,0.15,0.2,0.05,171,14.92,2.6,68.4,1.64,25.51,4.1
OOS_2025,0.15,0.2,0.1,171,14.84,3.68,68.4,1.63,25.37,4.12
OOS_2025,0.15,0.2,0.2,171,14.68,3.51,68.4,1.62,25.1,4.16
OOS_2025,0.15,0.2,0.3,171,14.52,2.83,68.4,1.61,24.83,4.21
OOS_2025,0.15,0.2,0.5,171,14.2,3.48,68.4,1.59,24.29,4.3
OOS_2025,0.15,0.2,0.75,171,13.81,2.18,68.4,1.56,23.61,4.42
OOS_2025,0.15,0.2,1.0,171,13.41,1.91,68.4,1.54,22.93,4.53
OOS_2025,0.15,0.3,0.05,171,14.6,3.6,67.8,1.62,24.96,4.16
OOS_2025,0.15,0.3,0.1,171,14.52,3.48,67.8,1.62,24.83,4.18
OOS_2025,0.15,0.3,0.2,171,14.36,3.32,67.8,1.6,24.56,4.23
OOS_2025,0.15,0.3,0.3,171,14.2,2.26,67.8,1.59,24.29,4.27
OOS_2025,0.15,0.3,0.5,171,13.88,1.71,67.8,1.57,23.74,4.36
OOS_2025,0.15,0.3,0.75,171,13.49,0.79,67.8,1.55,23.06,4.48
OOS_2025,0.15,0.3,1.0,171,13.09,1.41,67.8,1.52,22.39,4.59
OOS_2025,0.2,0.05,0.05,171,15.01,4.37,70.2,1.65,25.66,4.06
OOS_2025,0.2,0.05,0.1,171,14.93,3.05,70.2,1.64,25.53,4.08
OOS_2025,0.2,0.05,0.2,171,14.77,3.39,70.2,1.63,25.26,4.13
OOS_2025,0.2,0.05,0.3,171,14.61,3.2,70.2,1.62,24.99,4.17
OOS_2025,0.2,0.05,0.5,171,14.29,1.98,70.2,1.6,24.44,4.26
OOS_2025,0.2,0.05,0.75,171,13.9,2.07,70.2,1.57,23.76,4.38
OOS_2025,0.2,0.05,1.0,171,13.5,1.44,70.2,1.55,23.09,4.49
OOS_2025,0.2,0.1,0.05,171,14.85,3.58,69.0,1.64,25.39,4.08
OOS_2025,0.2,0.1,0.1,171,14.77,2.75,69.0,1.63,25.26,4.11
OOS_2025,0.2,0.1,0.2,171,14.61,3.27,69.0,1.62,24.98,4.15
OOS_2025,0.2,0.1,0.3,171,14.45,2.33,69.0,1.61,24.71,4.2
OOS_2025,0.2,0.1,0.5,171,14.13,2.55,69.0,1.59,24.17,4.29
OOS_2025,0.2,0.1,0.75,171,13.74,2.76,69.0,1.56,23.49,4.4
OOS_2025,0.2,0.1,1.0,171,13.34,2.07,69.0,1.54,22.81,4.52
OOS_2025,0.2,0.15,0.05,171,14.69,3.1,68.4,1.63,25.12,4.11
OOS_2025,0.2,0.15,0.1,171,14.61,3.47,68.4,1.62,24.98,4.13
OOS_2025,0.2,0.15,0.2,171,14.45,3.69,68.4,1.61,24.71,4.18
OOS_2025,0.2,0.15,0.3,171,14.29,2.91,68.4,1.6,24.44,4.22
OOS_2025,0.2,0.15,0.5,171,13.98,1.87,68.4,1.58,23.9,4.32
OOS_2025,0.2,0.15,0.75,171,13.58,1.14,68.4,1.56,23.22,4.43
OOS_2025,0.2,0.15,1.0,171,13.18,0.78,68.4,1.53,22.54,4.55
OOS_2025,0.2,0.2,0.05,171,14.53,3.95,67.8,1.62,24.85,4.14
OOS_2025,0.2,0.2,0.1,171,14.45,3.35,67.8,1.61,24.71,4.16
OOS_2025,0.2,0.2,0.2,171,14.29,2.42,67.8,1.6,24.44,4.21
OOS_2025,0.2,0.2,0.3,171,14.13,2.68,67.8,1.59,24.17,4.26
OOS_2025,0.2,0.2,0.5,171,13.82,2.44,67.8,1.57,23.63,4.35
OOS_2025,0.2,0.2,0.75,171,13.42,1.68,67.8,1.55,22.95,4.46
OOS_2025,0.2,0.2,1.0,171,13.02,0.31,67.8,1.52,22.27,4.58
