V,G,sl,tp,n_trades,expectancy_usdt,expectancy_pct,ci_low,ci_high,win_rate,avg_win,avg_loss,profit_factor,peak_concurrent,total_net,max_dd_pct,cagr_pct,calmar,sharpe,sortino,n_tp,n_sl,n_time,eligible
5,2,9,95,1229,1.2908283987823297,0.12908283987823296,-0.48605312084526653,3.1480048779711924,65.09357200976403,19.757241721863082,-33.145373602300666,1.1115681376333661,30,1586.428102103483,3.4776943831363067,13.264958005685479,3.814296641478506,1.8666995818807979,2.655399391009227,609,88,532,True
5,2,10,45,1229,1.0808161125523712,0.10808161125523712,-0.39092864050021564,2.432852571322983,80.79739625711962,10.47859860284081,-38.46154834870365,1.1463406321286307,28,1328.323002326864,3.4481426040165277,11.855327540792636,3.4381778546464696,2.210776425570059,3.067175858847947,978,49,202,True
5,2,10,75,1229,1.2844344882764034,0.12844344882764033,-0.6191337478385303,3.055632317891794,69.73148901545973,16.792289972907085,-34.44199602335933,1.1232062073774576,29,1578.5699860916998,2.9823030577402863,13.669087514387336,4.583399892546302,2.0263975596234247,3.1266020523609397,744,65,420,True
5,2,10,90,1229,1.4297481145823636,0.14297481145823634,-0.527550320018798,3.230005748450151,66.2327095199349,19.11395426476475,-33.25686346673923,1.1273157202303894,30,1757.160432821725,2.9121108278146615,14.750511316501559,5.06523006460259,2.1178876907906012,3.172790502993526,645,70,514,True
5,2,10,95,1229,1.333337902515617,0.1333337902515617,-0.5525310793500706,3.3016049823427482,65.17493897477624,19.755009355620196,-33.142734139392715,1.1155207515595997,30,1638.6722821916933,3.244105759963252,13.71833316117681,4.228694801038856,1.9365814891476336,2.905888601323566,610,72,547,True
5,2,11,45,1229,1.1526192648756133,0.11526192648756134,-0.3428462377124174,2.611944245119064,80.96013018714402,10.492031373885833,-38.55983820719776,1.1569953164674855,28,1416.5690765321287,2.987456158501562,12.670606304968723,4.24126937190737,2.262922148842063,2.991940000499242,980,43,206,True
5,2,11,75,1229,1.3166599359897997,0.13166599359897999,-0.4697463554599345,3.119342554493283,69.89422294548413,16.82102892600757,-34.678618340835236,1.1261136204655762,29,1618.175061331464,3.013483525614936,14.025284663607284,4.654176651171592,2.0008630991702367,3.111884318333307,746,58,425,True
5,2,11,90,1229,1.4310169049579453,0.14310169049579455,-0.4790740473891408,3.5084769033244134,66.39544344995932,19.15319164253611,-33.584224223041524,1.1267976704437195,30,1758.7197761933148,3.1386324197245035,14.764131587629148,4.70400149276642,2.039714597963753,3.0266119517286207,647,63,519,True
5,2,11,95,1229,1.3215744900519866,0.13215744900519866,-0.6867731332713236,3.277149841890981,65.33767290480064,19.798255946890837,-33.50653633117243,1.1137900779489855,30,1624.2150482738916,3.4736692266809905,13.592766969384918,3.9130861582847047,1.8447653587865065,2.726800047980792,612,65,552,True
5,2,12,45,1229,0.9822156169931076,0.09822156169931075,-0.6303671734440656,2.3476413042089774,81.04149715215623,10.486210092019725,-39.6443015380563,1.1306838817891667,28,1207.1429932845292,2.9098517185589436,10.741434078855526,3.691402558538291,1.8317293323128117,2.3483572304109326,980,41,208,True
5,2,12,75,1229,1.1444849244066746,0.11444849244066746,-0.8129308796250749,2.9354854193274793,69.97558991049634,16.806927769855516,-35.358769403739686,1.107804887645725,29,1406.571972095803,3.027025741291966,12.129758512378208,4.00715406774212,1.695885501141492,2.512559948885818,746,53,430,True
5,2,12,90,1229,1.258912222539918,0.12589122225399182,-0.646095768642471,3.1783368997593784,66.47681041497152,19.135493775942116,-34.190522556900845,1.1098359165477971,30,1547.2031215015593,3.3706558856070226,12.925261220833262,3.83464276968325,1.7541835114285718,2.5400464898419424,647,57,525,True
5,2,12,95,1229,1.1331899052743177,0.11331899052743177,-1.029787832296421,3.0033397915231714,65.41903986981285,19.779469601975855,-34.14118392095635,1.095981398322951,30,1392.6903935821365,3.8768613309378983,11.592962698460418,2.9902959401583304,1.5425336058743382,2.2372420188604845,612,59,558,True
5,3,8,45,704,2.427347831919424,0.24273478319194242,0.32697239813786416,4.324043077792381,79.54545454545455,14.781823668418376,-45.61783597668761,1.260140219080184,9,1708.8528736712747,4.270972558065833,52.23028821569044,12.22913224226934,3.2924636833737027,5.024747186375213,545,60,99,True
5,3,8,75,704,2.913290373954158,0.29132903739541577,0.20240813441029842,5.655131053161636,68.75,23.304487345899076,-41.94734296432467,1.2222436163497152,13,2050.956423263727,4.681412781643409,42.490282351446936,9.07638021540385,3.0974979483871286,5.924623845082459,406,82,216,True
5,3,8,90,704,3.465188384862494,0.3465188384862494,0.5773674159847328,6.413955664503145,66.76136363636364,25.85107165385364,-41.49791048875221,1.2512218573548561,15,2439.492622943196,4.239444307607237,43.94249749666122,10.36515503171277,3.451402071180937,6.041050903939216,340,86,278,True
5,3,8,95,704,3.5439996097037114,0.35439996097037113,0.6055803144786832,6.176141363583703,66.19318181818183,26.481757901641288,-41.367745617367355,1.253412196532262,15,2494.975725231413,4.519990868346001,45.051953926016594,9.967266580452726,3.5430049042950094,6.226413749622745,319,87,298,True
5,3,9,45,704,2.1153495006654253,0.21153495006654252,-0.04738220910957034,4.295735237606847,79.54545454545455,14.781823668418376,-47.14316115170717,1.2193681632133266,9,1489.2060484684594,4.9181870531767355,44.79224184272332,9.107470162972207,2.7944273261358807,4.130419697993938,545,53,106,True
5,3,9,75,704,2.724318546800271,0.2724318546800271,-0.19185440970171566,5.394027168647963,69.0340909090909,23.23843090475685,-43.008977810846055,1.204557275982893,13,1917.920256947391,5.171589297845177,39.46489193082312,7.63109552169326,2.8261374700707815,4.96809218781767,406,71,227,True
5,3,9,90,704,3.219375648617698,0.32193756486176983,0.3253471221933055,5.951408459335455,67.04545454545455,25.772265300016713,-42.66408950422858,1.228978047176782,15,2266.4404566268595,4.603859280336999,40.51412618054449,8.800035733841735,3.1308966578475173,5.104172234220495,340,75,289,True
5,3,9,95,704,3.2839766461861872,0.3283976646186187,0.006627145505437745,6.144752354170706,66.47727272727273,26.399582748849397,-42.555445625196796,1.2302001347539986,15,2311.919558915076,4.643617814108183,41.410429698892855,8.91770842403959,3.2110572708383964,5.213762666723507,319,76,309,True
5,3,10,45,704,1.9817842253434612,0.19817842253434612,-0.37170473790384,4.126640637005455,79.6875,14.777564164735562,-48.21704476765631,1.2023449639711403,9,1395.1760946417967,5.153177965476901,41.67463951656818,8.087172575013406,2.5299430348027663,3.581716883411549,546,45,113,True
5,3,10,75,704,2.450662247486757,0.24506622474867573,-0.2769633434202951,5.214332732879185,69.17613636363636,23.219444847924567,-44.15946275902575,1.180041492572087,13,1725.266222230677,5.322390757680147,35.15103977133289,6.6043703613099725,2.4734075482676836,4.102440461136472,406,61,237,True
5,3,10,90,704,2.952479550441091,0.29524795504410906,-0.2699549061130149,6.132116687836573,67.1875,25.747360344260727,-43.7227525511896,1.2057974942244383,15,2078.545603510528,4.700208808397558,36.846448167385695,7.839321542812,2.8144921588019463,4.448319361092605,340,64,300,True
5,3,10,95,704,3.0028703207368532,0.30028703207368534,-0.05239556197250224,6.1176022114747095,66.61931818181817,26.37312782023231,-43.638196774000896,1.2061458413880326,15,2114.0207057987445,4.913488464342836,37.53456340338097,7.639086501529235,2.880396006839043,4.549701342988951,319,65,320,True
5,3,11,45,704,1.8925526555155243,0.18925526555155242,-0.67861350388988,4.287312646229582,79.9715909090909,14.786032505883,-49.589923626448225,1.1905496162788796,10,1332.357069482929,5.421698588280615,35.30190645112745,6.511226302294824,2.2574950936611082,3.0594342237920396,548,41,115,True
5,3,11,75,704,2.3972213029114076,0.23972213029114076,-0.47620361654041526,5.313405768543855,69.46022727272727,23.243642089158275,-45.016265973715186,1.174370438416694,13,1687.6437972496308,5.953058768449542,34.3178724457031,5.764746121369318,2.294197334961922,3.562774766423612,408,55,241,True
5,3,11,90,704,2.90917145147904,0.290917145147904,-0.1961509314453215,6.033526910418607,67.4715909090909,25.786835898160597,-44.544499344039465,1.2007762839192941,16,2048.0567018412444,4.902412390155344,33.79682993689994,6.893918187047706,2.6296623466749747,3.956830819067718,342,57,305,True
5,3,11,95,704,2.9510216290341904,0.29510216290341906,-0.32347377718069786,6.076352895545473,66.9034090909091,26.418755794459706,-44.48804614742682,1.2004221876131589,16,2077.51922684007,5.03805600007736,34.325401092574694,6.813223412373269,2.684325337101183,4.036828038768268,321,58,325,True
5,3,12,45,704,1.9785150679066776,0.1978515067906678,-0.35931391357262604,4.2483748080354236,80.11363636363636,14.783195405882093,-49.606054293651425,1.2005622999680277,10,1392.8746078063011,5.994380431400066,37.05506980358522,6.181634653930451,2.2885135433494774,2.9346202801984775,549,36,119,True
5,3,12,75,704,2.795925043623883,0.2795925043623883,-0.3429277855744372,5.438190584831665,69.74431818181817,23.218557287009837,-44.28159810897003,1.2086869509709033,13,1968.3312307112137,5.79173229162351,40.60681487846423,7.011169169057282,2.6246059638301227,3.9102459183005744,409,46,249,True
5,3,12,90,704,3.2522498927878045,0.32522498927878046,0.22414855167090442,6.140718325232957,67.75568181818183,25.71020018274529,-43.93912582663827,1.2295510574117743,16,2289.5839245226143,4.665128639886413,38.16605019467587,8.181135642940198,2.879137734276073,4.134728493163971,342,48,314,True
5,3,12,95,704,3.2798898430702277,0.3279889843070228,0.024869116493442645,6.200588989726402,67.1875,26.338800031149557,-43.93597387537792,1.227509575369509,16,2309.04244952144,4.93877030816375,38.521641136655596,7.799844644117101,2.9158679128814,4.193369271629088,321,49,334,True
5,4,8,45,420,2.9525262183662773,0.29525262183662776,-0.5774009090379483,6.316846868966538,77.14285714285715,19.252892478654044,-52.061209910104935,1.2481175951856862,6,1240.0610117138365,9.849100817490877,57.47920699895977,5.83598524008235,2.439722207671216,4.616330776648945,311,51,58,True
5,4,8,75,420,3.355627581491047,0.3355627581491047,-0.3950134690257172,7.631597122050228,65.71428571428571,29.561530245587388,-46.87235252469361,1.208806398345934,11,1409.3635842262397,5.686416158079632,33.831358360839545,5.949504471769927,2.305374040876834,4.323509430770991,222,66,132,True
5,4,8,90,420,4.120416328698072,0.4120416328698072,-0.028648563526039613,8.512709778215484,64.52380952380953,32.2224253005008,-46.99129126431227,1.2471648692827866,12,1730.5748580531902,4.9871323420799145,38.492211876398905,7.718305678719063,2.8482874826231157,5.514741848502547,179,69,172,True
5,4,8,95,420,3.6863227578019773,0.3686322757801977,-0.5555235472858123,8.023638082291585,63.8095238095238,32.617048241604685,-47.32311427942911,1.2152413674768723,12,1548.2555582768305,5.67197867690983,34.08882205895778,6.010040587375732,2.5059602211887615,4.389783956124394,160,71,189,True
