symbol,date,vp,gp,pp,entry_price,exit_price,exit_reason,funding_ret,funding_events,net_ret_usdt
WUSDT,2025-06-26,50,50,6,0.0634,0.071642,SL,-0.003930579250788643,3,-134.73057925078862
WALUSDT,2025-09-02,50,50,21,0.4068,0.4248,TIME_EXIT,-0.00813650772615536,9,-53.18429533677487
WALUSDT,2026-01-09,50,50,33,0.1565,0.14219,TP,-0.008735779233226836,5,81.90192044728428
WALUSDT,2026-03-18,50,50,25,0.0877,0.082966,TP,-0.00044426420524515387,1,52.73521127936148
WAXPUSDT,2026-03-10,50,50,9,0.006409,0.006529,TIME_EXIT,-0.0008635889936027462,8,-20.387258832891295
WAXPUSDT,2026-03-20,50,50,16,0.007224,0.00816312,SL,-0.02779248004706534,2,-158.59248004706518
XTZUSDT,2026-05-30,50,50,3,0.3204,0.3292,TIME_EXIT,-0.0010320178464419474,9,-29.29768576154798
YGGUSDT,2026-01-22,50,20,5,0.06652,0.063667,TP,-0.000172355778713169,3,41.917000805772616
YGGUSDT,2026-02-21,50,50,27,0.05054,0.04485,TIME_EXIT,-0.032654906082311044,8,79.12918572615752
YGGUSDT,2026-03-15,50,50,12,0.042,0.039813,TP,-0.0023663479499999997,5,48.9050806214286
ZETAUSDT,2026-04-05,50,50,14,0.05443,0.049939,TP,-0.015605752673158186,3,66.10389274297266
ZETAUSDT,2026-04-17,50,50,13,0.06196,0.05559,TIME_EXIT,-0.03339397791639768,9,68.6142854793415
ZILUSDT,2026-01-12,50,50,17,0.00581,0.00574,TIME_EXIT,-0.00914411199655766,4,2.104080774526635
ZILUSDT,2026-03-18,50,50,6,0.00451,0.0043479999999999994,TP,-0.0017909546341463413,2,33.329222749445826
ZKUSDT,2026-02-01,50,50,197,0.02671,0.0301823,SL,-0.0042309048446274805,1,-135.03090484462737
ZKCUSDT,2026-01-03,45,50,10,0.1235,0.11854999999999999,TP,0.0,0,39.28097165991911
ZKPUSDT,2026-02-01,50,50,49,0.12047,0.088277,TP,-0.028129092229600732,19,238.2992633776044
ZORAUSDT,2025-11-13,50,50,67,0.06965,0.056546,TP,-0.02215530304809763,5,165.18540046949036
ZORAUSDT,2025-11-16,47,50,19,0.05681,0.052454,TP,-0.01403580350818518,3,61.84083792818164
ZORAUSDT,2025-12-20,50,50,13,0.04389,0.042432000000000004,TP,-0.0016546936750968329,1,30.76471849168362
ZORAUSDT,2026-02-01,50,50,41,0.0393,0.02531,TIME_EXIT,-0.03897701223155216,8,316.2026315343512
ZRXUSDT,2025-12-30,50,50,49,0.1613,0.1456,TIME_EXIT,-0.09773701123992562,30,-1.2028512895226884
